instr_msg;EN;DE
instr_msg1a;In the following you will see such stimuli.;Im Folgenden werden Sie solche Stimuli sehen.
instr_msg1b_bimanual;Please decide as <b>quickly and accurately</b> as possible whether the abducted<br>limb (arm or leg) is a left or right limb, <span style='color:orange'><b>by putting yourself<br>in the perspective and body position of the person depicted.</span></b><br><br><span style='color:orange'>Imagine how it <b>looks</b> and <b>feels</b> to turn yourself and abduct the<br>respective limb.</span><br><br>Place your left index finger on the <b>S</b> key and your right index finger on the <b>L</b> key.<br>Keep your hands in this position and move as little as possible.<br><br>If a <b>left limb</b> (arm or leg) is abducted, please press the <b>S</b> key.<br>If a <b>right limb</b> (arm or leg) is abducted, please press the <b>L</b> key.;Entscheiden Sie bitte so <b>schnell und korrekt</b> wie möglich, ob es sich bei dem abgespreizten<br>Körperteil (Arm oder Bein) um ein linkes oder rechtes Körperteil handelt, <span style='color:orange'><b>indem Sie sich<br>in die Perspektive und Körperstellung der abgebildeten Person versetzen.</span></b><br><br><span style='color:orange'>Stellen Sie sich vor, wie es <b>aussieht</b> und es sich <b>anfühlt</b>, sich selbst zu drehen und das<br>jeweilige Körperteil abzuspreizen.</span><br><br>Legen Sie Ihren linken Zeigefinger auf die Taste <b>S</b>, Ihren rechten Zeigefinger auf die Taste <b>L</b>.<br><br>Behalten Sie Ihre Hände in dieser Position und bewegen Sie sich so wenig wie möglich.<br><br>Wenn ein <b>linkes Körperteil</b> (Arm oder Bein) abgespreizt ist, drücken Sie bitte die Taste <b>S</b>.<br>Wenn ein <b>rechtes Körperteil</b> (Arm oder Bein) abgespreizt ist, drücken Sie bitte die Taste <b>L</b>.
instr_msg1b_left;Please decide as <b>quickly and accurately</b> as possible whether the abducted<br>limb (arm or leg) is a left or right limb, <span style='color:orange'><b>by putting yourself<br>in the perspective and body position of the person depicted.</span></b><br><br><span style='color:orange'>Imagine how it <b>looks</b> and <b>feels</b> to turn yourself and abduct the<br>respective limb.</span><br><br>Place the middle finger of your left hand on the <b>G</b> key and the index finger of your left hand on the <b>H</b> key.<br>Keep your fingers in this position and move as little as possible.<br><br>If a <b>left limb</b> (arm or leg) is abducted, please press the <b>G</b> key.<br>If a <b>right limb</b> (arm or leg) is abducted, please press the <b>H</b> key.<br>;Entscheiden Sie bitte so <b>schnell und korrekt</b> wie möglich, ob es sich bei dem abgespreizten<br>Körperteil (Arm oder Bein) um ein linkes oder rechtes Körperteil handelt, <span style='color:orange'><b>indem Sie sich<br>in die Perspektive und Körperstellung der abgebildeten Person versetzen.</span></b><br><br><span style='color:orange'>Stellen Sie sich vor, wie es <b>aussieht</b> und es sich <b>anfühlt</b>, sich selbst zu drehen und das<br>jeweilige Körperteil abzuspreizen.</span><br><br>Legen Sie den Mittelfinger Ihrer linken Hand auf die Taste <b>G</b>, den Zeigefinger Ihrer linken Hand auf die Taste <b>H</b>.<br>Behalten Sie Ihre Finger in dieser Position und bewegen Sie sich so wenig wie möglich.<br><br>Wenn ein <b>linkes Körperteil</b> (Arm oder Bein) abgespreizt ist, drücken Sie bitte die Taste <b>G</b>.<br>Wenn ein <b>rechtes Körperteil</b> (Arm oder Bein) abgespreizt ist, drücken Sie bitte die Taste <b>H</b>.
instr_msg1b_right;Please decide as <b>quickly and accurately</b> as possible whether the abducted<br>limb (arm or leg) is a left or right limb, <span style='color:orange'><b>by putting yourself<br>in the perspective and body position of the person depicted.</span></b><br><br><span style='color:orange'>Imagine how it <b>looks</b> and <b>feels</b> to turn yourself and abduct the<br>respective limb.</span><br><br>Place the index finger of your right hand on the <b>G</b> key and the middle finger of your right hand on the <b>H</b> key.<br>Keep your fingers in this position and move as little as possible.<br><br>If a <b>left limb</b> (arm or leg) is abducted, please press the <b>G</b> key.<br>If a <b>right limb</b> (arm or leg) is abducted, please press the <b>H</b> key.;Entscheiden Sie bitte so <b>schnell und korrekt</b> wie möglich, ob es sich bei dem abgespreizten<br>Körperteil (Arm oder Bein) um ein linkes oder rechtes Körperteil handelt, <span style='color:orange'><b>indem Sie sich<br>in die Perspektive und Körperstellung der abgebildeten Person versetzen.</span></b><br><br><span style='color:orange'>Stellen Sie sich vor, wie es <b>aussieht</b> und es sich <b>anfühlt</b>, sich selbst zu drehen und das<br>jeweilige Körperteil abzuspreizen.</span><br><br>Legen Sie den Zeigefinger Ihrer rechten Hand auf die Taste <b>G</b>, den Mittelfinger Ihrer rechten Hand auf die Taste <b>H</b>.<br>Behalten Sie Ihre Finger in dieser Position und bewegen Sie sich so wenig wie möglich.<br><br>Wenn ein <b>linkes Körperteil</b> (Arm oder Bein) abgespreizt ist, drücken Sie bitte die Taste <b>G</b>.<br>Wenn ein <b>rechtes Körperteil</b> (Arm oder Bein) abgespreizt ist, drücken Sie bitte die Taste <b>H</b>.
instr_msg2;After each trial, you will receive a feedback on your response:<br><br>If you have answered correctly, the corresponding box will light up <span style='color:green'><b>green</span></b>.<br><br>If you have answered incorrectly, the corresponding box will light up <span style='color:red'><b>red</span></b>.;Nach jedem Durchgang erhalten Sie eine kurze Rückmeldung zu Ihrer Antwort:<br><br>Wenn Sie richtig geantwortet haben, leuchtet das zugehörige Kästchen <span style='color:green'><b>grün</span></b> auf.<br><br>Wenn Sie falsch geantwortet haben, leuchtet das zugehörige Kästchen <span style='color:red'><b>rot</span></b> auf.
start_pract_msg;A few <b>practice trials</b> now follow.;Es folgen nun ein paar <b>Übungsdurchgänge</b>.
end_pract_msg;This is the end of the practice trials.;Dies ist das Ende der Übungsdurchgänge. 
instr_msg3_bimanual;The following stimuli will be presented to you <b>partially rotated</b>. This should have no influence on your<br>decision. You should only judge whether it is a right or left limb.<br><br>Please make your decision as <b>quickly and accurately</b> as possible. <br><br>If a <b>left limb</b> (arm or leg) is abducted, please press the <b>S</b> key.<br>If a <b>right limb</b> (arm or leg) is abducted, please press the <b>L</b> key.;Die nun folgenden Stimuli werden Ihnen <b>teilweise gedreht präsentiert</b>. Dies soll keinen Einfluss auf Ihre<br>Entscheidung haben. Sie sollen ausschließlich beurteilen, ob es sich um ein rechtes oder<br>linkes Körperteil handelt.<br><br>Entscheiden Sie bitte so <b>schnell und korrekt</b> wie möglich.<br><br>Wenn ein <b>linkes Körperteil</b> (Arm oder Bein) abgespreizt ist, drücken Sie bitte die Taste <b>S</b>.<br>Wenn ein <b>rechtes Körperteil</b> (Arm oder Bein) abgespreizt ist, drücken Sie bitte die Taste <b>L</b>.
instr_msg3_unimanual;The following stimuli will be presented to you <b>partially rotated</b>. This should have no influence on your<br>decision. You should only judge whether it is a right or left limb.<br><br>Please make your decision as <b>quickly and accurately</b> as possible.<br><br>If a <b>left limb</b> (arm or leg) is abducted, please press the <b>G</b> key.<br>If a <b>right limb</b> (arm or leg) is abducted, please press the <b>H</b> key.;"Die nun folgenden Stimuli werden Ihnen <b>teilweise gedreht präsentiert</b>. Dies soll keinen Einfluss auf Ihre<br>Entscheidung haben. Sie sollen ausschließlich beurteilen, ob es sich um ein rechtes oder<br>linkes Körperteil handelt.<br><br>
Entscheiden Sie bitte so <b>schnell und korrekt</b> wie möglich.<br><br>Wenn ein <b>linkes Körperteil</b> (Arm oder Bein) abgespreizt ist, drücken Sie bitte die Taste <b>G</b>.<br>Wenn ein <b>rechtes Körperteil</b> (Arm oder Bein) abgespreizt ist, drücken Sie bitte die Taste <b>H</b>."
no_fb_msg;You will not receive any feedback.;Sie werden keine Rückmeldungen erhalten.
